job_title_salary_rank,company_size,experience_level_encoded,employment_type_encoded,work_year,salary_in_usd,job_title,company_location,experience_level,employment_type,remote_ratio
3,2,3,1,2024,136038,Software Engineer,US,SE,FT,0
1,2,2,1,2024,197400,Machine Learning Engineer,US,MI,FT,0
8,2,1,1,2024,58542,Data Reporting Analyst,US,EN,FT,0
8,2,1,1,2024,43920,Data Reporting Analyst,US,EN,FT,0
3,2,3,1,2024,170200,Software Engineer,US,SE,FT,0
7,2,2,1,2024,204000,Data Engineer,US,MI,FT,0
7,2,3,1,2024,250200,Data Engineer,AU,SE,FT,0
7,2,3,1,2024,117200,Data Engineer,AU,SE,FT,0
7,2,2,1,2024,143000,Data Engineer,US,MI,FT,100
7,2,2,1,2024,132000,Data Engineer,US,MI,FT,100
7,2,1,1,2024,110240,Data Engineer,US,EN,FT,0
7,2,1,1,2024,39500,Data Engineer,US,EN,FT,0
7,2,3,1,2024,35386,Data Engineer,HR,SE,FT,0
7,2,3,1,2024,183000,Data Engineer,US,SE,FT,0
7,2,3,1,2024,167000,Data Engineer,US,SE,FT,0
7,2,3,1,2024,178200,Engineer,US,SE,FT,0
7,2,3,1,2024,74800,Engineer,US,SE,FT,0
10,2,3,1,2024,194000,Data Analyst,US,SE,FT,0
10,2,3,1,2024,116000,Data Analyst,US,SE,FT,0
10,2,3,1,2024,219200,Data Analyst,US,SE,FT,0
10,2,3,1,2024,103800,Data Analyst,US,SE,FT,0
10,2,3,1,2024,35386,Data Analyst,HR,SE,FT,0
10,2,1,1,2024,89305,Data Analyst,US,EN,FT,0
6,2,1,1,2024,110240,Data Scientist,US,EN,FT,0
6,2,1,1,2024,39500,Data Scientist,US,EN,FT,0
6,2,3,1,2024,225000,Data Scientist,US,SE,FT,0
6,2,2,1,2024,103100,Data Scientist,US,MI,FT,0
6,2,2,1,2024,76200,Data Scientist,US,MI,FT,0
6,2,2,1,2024,90012,Data Scientist,CA,MI,FT,0
6,2,2,1,2024,68562,Data Scientist,CA,MI,FT,0
6,2,2,1,2024,120400,Data Scientist,US,MI,FT,0
6,2,1,1,2024,145800,Data Scientist,US,EN,FT,0
6,2,1,1,2024,83300,Data Scientist,US,EN,FT,0
9,2,3,1,2024,268900,Business Intelligence Developer,US,SE,FT,0
9,2,3,1,2024,103800,Business Intelligence Developer,US,SE,FT,0
